time,enc_pos_l,enc_pos_r,enc_vel_l,enc_vel_r,voltage,VPR,VRL
1.6544920000000003,0,0,0,0,11.9,0.0,0.0
1.9225069999999995,0,0,0,0,11.850000000000001,0.0,0.0
2.1482249999999996,112,-124,79,-92,9.95,-0.4995112414467253,0.4995112414467253
2.39772,473,-530,177,-184,10.350000000000001,0.0,0.0
2.578664999999999,801,-855,202,-200,11.0,-0.4995112414467253,0.4995112414467253
2.7236219999999993,1135,-1163,217,-226,10.65,-0.4995112414467253,0.4995112414467253
2.887575000000001,1513,-1542,245,-244,10.9,-0.4995112414467253,0.4995112414467253
3.038994999999999,1919,-1958,255,-262,10.8,-0.4995112414467253,0.4995112414467253
3.2427569999999997,2324,-2363,182,-165,11.600000000000001,0.0,0.0
3.4827399999999997,230,-260,144,-148,10.100000000000001,-0.4995112414467253,0.4995112414467253
3.5614339999999993,373,-406,174,-177,10.100000000000001,-0.4995112414467253,0.4995112414467253
3.7441219999999995,733,-761,196,-183,10.5,0.0,0.0
3.869030999999999,951,-975,188,-178,11.600000000000001,-0.4995112414467253,0.4995112414467253
3.9627279999999994,1146,-1177,195,-202,10.5,-0.4995112414467253,0.4995112414467253
4.0495030000000005,1305,-1341,197,-206,10.5,-0.4995112414467253,0.4995112414467253
4.128086,1487,-1529,224,-231,10.7,-0.4995112414467253,0.4995112414467253
4.210529,1683,-1733,244,-254,10.7,-0.4995112414467253,0.4995112414467253
4.301298000000001,1931,-1992,248,-259,10.8,-0.4995112414467253,0.4995112414467253
4.3853029999999995,2143,-2212,264,-273,10.8,-0.4995112414467253,0.4995112414467253
4.471941999999999,2359,-2435,270,-279,10.9,-0.4995112414467253,0.4995112414467253
4.563497999999999,2638,-2723,279,-288,10.9,-0.4995112414467253,0.4995112414467253
4.645189,2857,-2953,275,-288,11.05,-0.4995112414467253,0.4995112414467253
4.743331,3146,-3251,289,-298,11.15,-0.4995112414467253,0.4995112414467253
4.842084000000001,3435,-3548,289,-297,11.15,-0.4995112414467253,0.4995112414467253
4.933733,3665,-3786,288,-298,11.05,-0.4995112414467253,0.4995112414467253
5.021225,3962,-4091,297,-305,11.05,-0.4995112414467253,0.4995112414467253
5.111452999999999,4200,-4339,298,-308,11.15,-0.4995112414467253,0.4995112414467253
5.192969999999999,4442,-4584,302,-308,11.15,-0.4995112414467253,0.4995112414467253
5.282555,4735,-4895,293,-311,11.15,-0.4995112414467253,0.4995112414467253
5.361749,4974,-5140,299,-307,11.15,-0.4995112414467253,0.4995112414467253
5.452338,5216,-5391,302,-312,11.15,-0.4995112414467253,0.4995112414467253
5.541672,5520,-5701,304,-310,11.15,-0.4995112414467253,0.4995112414467253
5.638256999999999,5755,-6004,294,-303,11.15,-0.4995112414467253,0.4995112414467253
5.725484000000001,6052,-6246,297,-303,11.100000000000001,-0.4995112414467253,0.4995112414467253
5.818857,6355,-6552,303,-306,11.100000000000001,-0.4995112414467253,0.4995112414467253
5.910409,6595,-6797,301,-306,11.15,-0.4995112414467253,0.4995112414467253
5.9894989999999995,6831,-7038,295,-301,11.15,-0.4995112414467253,0.4995112414467253
6.068857,7068,-7283,296,-306,11.15,-0.4995112414467253,0.4995112414467253
6.169119,7368,-7590,300,-307,11.15,-0.4995112414467253,0.4995112414467253
6.259798000000001,7670,-7897,302,-307,11.15,-0.4995112414467253,0.4995112414467253
6.346907999999999,7909,-8143,298,-306,11.15,-0.4995112414467253,0.4995112414467253
6.428496999999999,8149,-8389,300,-308,11.15,-0.4995112414467253,0.4995112414467253
6.512066999999999,8388,-8632,299,-305,11.100000000000001,-0.4995112414467253,0.4995112414467253
6.59316,8626,-8873,297,-301,11.100000000000001,-0.4995112414467253,0.4995112414467253
6.6755830000000005,8862,-9114,295,-300,11.100000000000001,-0.4995112414467253,0.4995112414467253
15.532362,9885,-10190,0,0,11.9,0.0,0.0
15.611248000000002,9885,-10190,0,0,11.9,0.0,0.0
